,split_drug,idx
873,train,873
874,val,874
875,val,875
876,test,876
877,train,877
878,test,878
879,train,879
880,val,880
881,train,881
882,test,882
883,train,883
884,val,884
885,val,885
886,val,886
887,train,887
888,train,888
889,train,889
890,train,890
891,train,891
892,train,892
893,train,893
894,train,894
895,test,895
896,train,896
897,train,897
898,train,898
899,train,899
900,train,900
901,test,901
902,train,902
903,train,903
904,train,904
905,train,905
906,train,906
907,train,907
908,train,908
909,train,909
910,train,910
911,val,911
912,test,912
913,test,913
914,val,914
915,train,915
916,val,916
917,test,917
918,val,918
919,train,919
920,train,920
921,train,921
922,train,922
923,train,923
924,val,924
925,train,925
926,train,926
927,train,927
928,train,928
929,val,929
930,train,930
931,val,931
932,train,932
933,train,933
934,train,934
935,train,935
936,train,936
937,test,937
938,test,938
939,train,939
940,train,940
941,train,941
942,test,942
943,test,943
944,test,944
945,test,945
946,val,946
947,val,947
948,val,948
949,train,949
950,val,950
951,train,951
952,train,952
953,train,953
954,train,954
955,train,955
956,test,956
957,test,957
958,val,958
959,train,959
960,train,960
961,val,961
962,test,962
963,train,963
964,val,964
965,train,965
966,train,966
967,train,967
968,val,968
969,train,969
970,train,970
971,train,971
972,train,972
973,test,973
974,test,974
975,test,975
976,train,976
977,train,977
978,train,978
979,train,979
980,train,980
981,train,981
982,test,982
983,train,983
984,train,984
985,val,985
986,train,986
987,val,987
988,train,988
989,train,989
990,train,990
991,train,991
992,test,992
993,train,993
994,train,994
995,train,995
996,train,996
997,test,997
998,train,998
999,train,999
1000,train,1000
1001,train,1001
1002,train,1002
1003,train,1003
1004,train,1004
1005,train,1005
1006,train,1006
1007,train,1007
1008,train,1008
1009,train,1009
1010,train,1010
1011,val,1011
1012,train,1012
1013,train,1013
1014,train,1014
1015,train,1015
1016,test,1016
1017,test,1017
1018,train,1018
1019,val,1019
1020,train,1020
1021,train,1021
1022,train,1022
1023,train,1023
1024,val,1024
1025,test,1025
1026,train,1026
1027,train,1027
1028,test,1028
1029,test,1029
1030,train,1030
1031,test,1031
1032,train,1032
1033,train,1033
1034,train,1034
1035,train,1035
1036,train,1036
1037,train,1037
1038,train,1038
1039,train,1039
1040,train,1040
1041,val,1041
1042,train,1042
1043,train,1043
1044,train,1044
1045,val,1045
1046,val,1046
1047,val,1047
1048,train,1048
1049,test,1049
1050,train,1050
1051,test,1051
1052,train,1052
1053,test,1053
1054,train,1054
1055,val,1055
1056,train,1056
1057,train,1057
1058,test,1058
1059,val,1059
1060,train,1060
1061,val,1061
1062,train,1062
1063,train,1063
1064,train,1064
1065,test,1065
1066,test,1066
1067,train,1067
1068,train,1068
1069,test,1069
1070,train,1070
1071,train,1071
1072,val,1072
1073,val,1073
1074,train,1074
1075,train,1075
1076,train,1076
1077,train,1077
1078,train,1078
1079,train,1079
1080,train,1080
1081,train,1081
1082,train,1082
1083,test,1083
1084,train,1084
1085,train,1085
1086,train,1086
1087,train,1087
1088,train,1088
1089,train,1089
1090,train,1090
1091,train,1091
1092,train,1092
1093,train,1093
1094,train,1094
1095,train,1095
1096,train,1096
1097,test,1097
1098,test,1098
1099,train,1099
1100,train,1100
1101,train,1101
1102,train,1102
1103,train,1103
1104,train,1104
1105,train,1105
1106,test,1106
1107,train,1107
1108,train,1108
1109,train,1109
1110,train,1110
1111,train,1111
1112,train,1112
1113,train,1113
1114,train,1114
1115,test,1115
1116,train,1116
1117,train,1117
1118,train,1118
1119,test,1119
1120,train,1120
1121,train,1121
1122,train,1122
1123,train,1123
1124,train,1124
1125,train,1125
1126,val,1126
1127,train,1127
1128,train,1128
1129,test,1129
1130,val,1130
1131,train,1131
1132,train,1132
1133,train,1133
1134,val,1134
1135,train,1135
1136,val,1136
1137,train,1137
1138,val,1138
1139,test,1139
1140,train,1140
1141,train,1141
1142,train,1142
1143,test,1143
1144,train,1144
1145,train,1145
1146,train,1146
1147,train,1147
1148,val,1148
1149,train,1149
1150,train,1150
1151,train,1151
1152,train,1152
1153,train,1153
1154,train,1154
1155,train,1155
1156,train,1156
1157,train,1157
1158,train,1158
1159,train,1159
1160,train,1160
1161,train,1161
1162,val,1162
1163,train,1163
1164,train,1164
1165,train,1165
1166,train,1166
1167,train,1167
1168,train,1168
1169,train,1169
1170,train,1170
1171,train,1171
1172,test,1172
1173,test,1173
1174,train,1174
1175,test,1175
1176,test,1176
1177,train,1177
1178,train,1178
1179,train,1179
1180,train,1180
1181,val,1181
1182,train,1182
1183,train,1183
1184,train,1184
1185,test,1185
1186,train,1186
1187,train,1187
1188,test,1188
1189,test,1189
1190,train,1190
1191,train,1191
1192,test,1192
1193,train,1193
1194,train,1194
1195,train,1195
1196,test,1196
1197,train,1197
1198,val,1198
1199,train,1199
1200,train,1200
1201,train,1201
1202,train,1202
1203,test,1203
1204,train,1204
1205,train,1205
1206,train,1206
1207,test,1207
1208,test,1208
1209,train,1209
1210,train,1210
1211,train,1211
1212,test,1212
1213,test,1213
1214,val,1214
1215,train,1215
1216,train,1216
1217,train,1217
1218,train,1218
1219,train,1219
1220,train,1220
1221,train,1221
1222,train,1222
1223,train,1223
1224,train,1224
1225,train,1225
1226,train,1226
1227,train,1227
1228,train,1228
1229,val,1229
1230,train,1230
1231,train,1231
1232,test,1232
1233,train,1233
1234,train,1234
1235,train,1235
1236,train,1236
1237,train,1237
1238,train,1238
1239,train,1239
1240,train,1240
1241,train,1241
1242,train,1242
1243,train,1243
1244,train,1244
1245,test,1245
1246,train,1246
1247,train,1247
1248,train,1248
1249,train,1249
1250,train,1250
1251,test,1251
1252,train,1252
1253,train,1253
1254,test,1254
1255,val,1255
1256,train,1256
1257,train,1257
1258,val,1258
1259,train,1259
1260,train,1260
1261,train,1261
1262,train,1262
1263,train,1263
1264,val,1264
1265,train,1265
1266,train,1266
1267,val,1267
1268,train,1268
1269,train,1269
1270,train,1270
1271,test,1271
1272,val,1272
1273,train,1273
1274,train,1274
1275,train,1275
1276,val,1276
1277,train,1277
1278,train,1278
1279,train,1279
1280,train,1280
1281,test,1281
1282,train,1282
1283,train,1283
1284,train,1284
1285,val,1285
1286,val,1286
1287,train,1287
1288,train,1288
1289,train,1289
1290,train,1290
1291,test,1291
1292,test,1292
1293,val,1293
1294,test,1294
1295,train,1295
1296,train,1296
1297,test,1297
1298,test,1298
1299,test,1299
1300,test,1300
1301,train,1301
1302,train,1302
1303,train,1303
1304,train,1304
1305,train,1305
1306,train,1306
1307,val,1307
1308,train,1308
1309,train,1309
1310,val,1310
1311,test,1311
1312,train,1312
1313,train,1313
1314,train,1314
1315,train,1315
1316,val,1316
1317,test,1317
1318,test,1318
1319,test,1319
1320,train,1320
1321,train,1321
1322,train,1322
1323,train,1323
1324,val,1324
1325,train,1325
1326,train,1326
1327,test,1327
1328,train,1328
1329,val,1329
1330,test,1330
1331,train,1331
1332,train,1332
1333,train,1333
1334,train,1334
1335,test,1335
1336,test,1336
1337,test,1337
1338,train,1338
1339,test,1339
1340,train,1340
1341,train,1341
1342,val,1342
1343,train,1343
1344,train,1344
1345,train,1345
1346,train,1346
1347,val,1347
1348,train,1348
1349,train,1349
1350,val,1350
1351,val,1351
1352,test,1352
1353,test,1353
1354,train,1354
1355,val,1355
1356,train,1356
1357,test,1357
1358,train,1358
1359,train,1359
1360,train,1360
1361,train,1361
1362,train,1362
1363,test,1363
1364,test,1364
1365,test,1365
1366,test,1366
1367,test,1367
1368,val,1368
1369,train,1369
1370,test,1370
1371,test,1371
1372,train,1372
1373,train,1373
1374,train,1374
1375,train,1375
1376,train,1376
1377,train,1377
1378,val,1378
1379,train,1379
1380,train,1380
1381,train,1381
1382,test,1382
1383,val,1383
1384,val,1384
1385,train,1385
1386,train,1386
1387,train,1387
1388,train,1388
1389,train,1389
1390,train,1390
1391,val,1391
1392,train,1392
1393,val,1393
1394,test,1394
1395,train,1395
1396,train,1396
1397,train,1397
1398,train,1398
1399,test,1399
1400,test,1400
1401,val,1401
1402,train,1402
1403,train,1403
1404,val,1404
1405,train,1405
1406,train,1406
1407,train,1407
1408,train,1408
1409,train,1409
1410,train,1410
1411,train,1411
1412,train,1412
1413,train,1413
1414,train,1414
1415,test,1415
1416,val,1416
1417,test,1417
1418,train,1418
1419,train,1419
1420,train,1420
1421,train,1421
1422,train,1422
1423,train,1423
1424,train,1424
1425,test,1425
1426,train,1426
1427,test,1427
1428,train,1428
1429,train,1429
1430,train,1430
1431,train,1431
1432,val,1432
1433,val,1433
1434,train,1434
1435,train,1435
1436,train,1436
1437,val,1437
1438,train,1438
1439,test,1439
1440,train,1440
1441,test,1441
1442,train,1442
1443,train,1443
1444,test,1444
1445,test,1445
1446,train,1446
1447,train,1447
1448,train,1448
1449,train,1449
1450,train,1450
1451,train,1451
1452,train,1452
1453,train,1453
1454,train,1454
1455,train,1455
1456,train,1456
1457,train,1457
1458,test,1458
1459,train,1459
1460,train,1460
1461,train,1461
1462,train,1462
1463,train,1463
1464,val,1464
1465,val,1465
1466,test,1466
1467,train,1467
1468,train,1468
1469,train,1469
1470,train,1470
1471,train,1471
1472,val,1472
1473,test,1473
1474,train,1474
1475,train,1475
1476,train,1476
1477,train,1477
1478,train,1478
1479,test,1479
1480,test,1480
1481,train,1481
1482,train,1482
1483,test,1483
1484,train,1484
1485,train,1485
1486,train,1486
1487,train,1487
1488,val,1488
1489,train,1489
1490,val,1490
1491,train,1491
1492,val,1492
1493,val,1493
1494,test,1494
1495,train,1495
1496,train,1496
1497,test,1497
1498,test,1498
1499,train,1499
1500,train,1500
1501,train,1501
1502,train,1502
1503,train,1503
1504,train,1504
1505,train,1505
1506,train,1506
1507,test,1507
1508,train,1508
1509,train,1509
1510,test,1510
1511,train,1511
1512,train,1512
1513,train,1513
1514,train,1514
1515,train,1515
1516,train,1516
1517,train,1517
1518,train,1518
1519,train,1519
1520,train,1520
1521,train,1521
1522,train,1522
1523,train,1523
1524,train,1524
1525,test,1525
1526,train,1526
1527,train,1527
1528,train,1528
1529,test,1529
1530,train,1530
1531,train,1531
1532,train,1532
1533,train,1533
1534,train,1534
1535,train,1535
1536,test,1536
1537,train,1537
1538,val,1538
1539,test,1539
1540,test,1540
1541,train,1541
1542,train,1542
1543,val,1543
1544,train,1544
1545,train,1545
1546,train,1546
1547,train,1547
1548,train,1548
1549,test,1549
1550,train,1550
1551,train,1551
1552,train,1552
1553,train,1553
1554,train,1554
1555,train,1555
1556,train,1556
1557,train,1557
1558,train,1558
1559,train,1559
1560,test,1560
1561,train,1561
1562,train,1562
1563,train,1563
1564,train,1564
1565,train,1565
1566,train,1566
1567,val,1567
1568,train,1568
1569,train,1569
1570,train,1570
1571,train,1571
1572,train,1572
1573,val,1573
1574,train,1574
1575,val,1575
1576,train,1576
1577,train,1577
1578,train,1578
1579,val,1579
1580,train,1580
1581,val,1581
1582,test,1582
1583,test,1583
1584,train,1584
1585,train,1585
1586,train,1586
1587,train,1587
1588,test,1588
1589,test,1589
1590,train,1590
1591,train,1591
1592,train,1592
1593,train,1593
1594,train,1594
1595,train,1595
1596,train,1596
1597,train,1597
1598,train,1598
1599,train,1599
1600,val,1600
1601,train,1601
1602,train,1602
1603,train,1603
1604,val,1604
1605,test,1605
1606,test,1606
1607,train,1607
1608,test,1608
1609,test,1609
1610,train,1610
1611,train,1611
1612,train,1612
1613,train,1613
1614,train,1614
1615,train,1615
1616,train,1616
1617,train,1617
1618,train,1618
1619,train,1619
1620,val,1620
1621,train,1621
1622,train,1622
1623,train,1623
1624,test,1624
1625,train,1625
1626,train,1626
1627,train,1627
1628,train,1628
1629,train,1629
1630,train,1630
1631,train,1631
1632,train,1632
1633,train,1633
1634,val,1634
1635,train,1635
1636,train,1636
1637,test,1637
1638,train,1638
1639,train,1639
1640,train,1640
1641,val,1641
1642,train,1642
1643,val,1643
1644,train,1644
1645,train,1645
1646,train,1646
1647,test,1647
1648,val,1648
1649,val,1649
1650,val,1650
1651,test,1651
1652,test,1652
1653,train,1653
1654,train,1654
1655,test,1655
1656,train,1656
1657,val,1657
1658,train,1658
1659,train,1659
1660,train,1660
1661,train,1661
1662,train,1662
1663,val,1663
1664,val,1664
1665,val,1665
1666,test,1666
1667,test,1667
1668,train,1668
1669,val,1669
1670,train,1670
1671,train,1671
1672,test,1672
1673,train,1673
1674,test,1674
1675,val,1675
1676,train,1676
1677,val,1677
1678,val,1678
1679,train,1679
1680,val,1680
1681,train,1681
1682,train,1682
1683,train,1683
1684,train,1684
1685,train,1685
1686,train,1686
1687,train,1687
1688,train,1688
1689,train,1689
1690,val,1690
1691,train,1691
1692,train,1692
1693,train,1693
1694,train,1694
1695,train,1695
1696,train,1696
1697,train,1697
1698,train,1698
1699,train,1699
1700,train,1700
1701,train,1701
1702,train,1702
1703,train,1703
1704,val,1704
1705,train,1705
1706,train,1706
1707,train,1707
1708,train,1708
1709,train,1709
1710,train,1710
1711,train,1711
1712,train,1712
1713,train,1713
1714,train,1714
1715,train,1715
1716,train,1716
1717,val,1717
1718,test,1718
1719,train,1719
1720,val,1720
1721,train,1721
1722,val,1722
1723,train,1723
1724,train,1724
1725,train,1725
1726,test,1726
1727,test,1727
1728,train,1728
1729,train,1729
1730,train,1730
1731,train,1731
1732,train,1732
1733,train,1733
1734,train,1734
1735,val,1735
1736,train,1736
1737,train,1737
1738,train,1738
1739,train,1739
1740,train,1740
1741,test,1741
1742,val,1742
1743,train,1743
1744,val,1744
1745,val,1745
1746,train,1746
1747,test,1747
1748,train,1748
1749,test,1749
1750,val,1750
1751,train,1751
1752,train,1752
1753,train,1753
1754,test,1754
1755,train,1755
1756,test,1756
1757,train,1757
1758,train,1758
1759,test,1759
1760,train,1760
1761,train,1761
1762,val,1762
1763,test,1763
1764,train,1764
1765,train,1765
1766,train,1766
1767,train,1767
1768,train,1768
1769,test,1769
1770,train,1770
1771,train,1771
1772,test,1772
1773,test,1773
1774,test,1774
1775,train,1775
1776,train,1776
1777,test,1777
1778,train,1778
1779,test,1779
1780,val,1780
1781,test,1781
1782,train,1782
1783,train,1783
1784,train,1784
1785,test,1785
1786,test,1786
1787,val,1787
1788,val,1788
1789,train,1789
1790,test,1790
1791,train,1791
1792,train,1792
1793,train,1793
1794,train,1794
1795,train,1795
1796,train,1796
1797,val,1797
1798,train,1798
1799,val,1799
1800,train,1800
1801,train,1801
1802,train,1802
1803,train,1803
1804,val,1804
1805,train,1805
1806,train,1806
1807,train,1807
1808,test,1808
1809,test,1809
1810,train,1810
1811,train,1811
1812,train,1812
1813,train,1813
1814,train,1814
1815,train,1815
1816,train,1816
1817,train,1817
1818,test,1818
1819,val,1819
1820,test,1820
1821,val,1821
1822,train,1822
1823,train,1823
1824,train,1824
1825,train,1825
1826,train,1826
1827,train,1827
1828,train,1828
1829,train,1829
1830,train,1830
1831,test,1831
1832,train,1832
1833,val,1833
1834,test,1834
1835,train,1835
1836,val,1836
1837,val,1837
1838,train,1838
1839,train,1839
1840,train,1840
1841,train,1841
1842,train,1842
1843,train,1843
1844,train,1844
1845,val,1845
1846,val,1846
1847,train,1847
1848,train,1848
1849,train,1849
1850,train,1850
1851,train,1851
1852,train,1852
1853,train,1853
1854,test,1854
1855,test,1855
1856,train,1856
1857,train,1857
1858,train,1858
1859,train,1859
1860,train,1860
1861,train,1861
1862,train,1862
1863,train,1863
1864,train,1864
1865,val,1865
1866,train,1866
1867,train,1867
1868,train,1868
1869,train,1869
1870,test,1870
1871,train,1871
1872,test,1872
1873,val,1873
1874,test,1874
1875,train,1875
1876,train,1876
1877,test,1877
1878,test,1878
1879,train,1879
1880,train,1880
1881,train,1881
1882,train,1882
1883,test,1883
1884,train,1884
1885,train,1885
1886,val,1886
1887,train,1887
1888,val,1888
1889,val,1889
1890,train,1890
1891,val,1891
1892,test,1892
1893,test,1893
1894,train,1894
1895,test,1895
1896,train,1896
1897,train,1897
1898,test,1898
1899,train,1899
1900,train,1900
1901,train,1901
1902,test,1902
1903,train,1903
1904,train,1904
1905,test,1905
1906,train,1906
1907,test,1907
1908,val,1908
1909,test,1909
1910,train,1910
1911,test,1911
1912,train,1912
1913,train,1913
1914,train,1914
1915,train,1915
1916,train,1916
1917,train,1917
1918,train,1918
1919,train,1919
1920,train,1920
1921,train,1921
1922,test,1922
1923,train,1923
1924,train,1924
1925,train,1925
1926,train,1926
1927,train,1927
1928,train,1928
1929,test,1929
1930,train,1930
1931,val,1931
1932,train,1932
1933,test,1933
1934,val,1934
1935,train,1935
1936,test,1936
1937,train,1937
1938,test,1938
1939,train,1939
1940,train,1940
1941,train,1941
1942,train,1942
1943,train,1943
1944,test,1944
1945,train,1945
1946,train,1946
1947,train,1947
1948,train,1948
1949,val,1949
1950,train,1950
1951,train,1951
1952,val,1952
1953,train,1953
1954,train,1954
1955,train,1955
1956,val,1956
1957,train,1957
1958,train,1958
1959,train,1959
1960,train,1960
1961,val,1961
1962,train,1962
1963,train,1963
1964,train,1964
1965,train,1965
1966,train,1966
1967,test,1967
1968,test,1968
1969,train,1969
1970,train,1970
1971,train,1971
1972,train,1972
1973,train,1973
1974,train,1974
1975,train,1975
1976,train,1976
1977,train,1977
1978,test,1978
1979,train,1979
1980,val,1980
1981,train,1981
1982,train,1982
1983,test,1983
1984,test,1984
1985,train,1985
1986,train,1986
1987,test,1987
1988,train,1988
1989,train,1989
1990,train,1990
1991,train,1991
1992,train,1992
1993,val,1993
1994,val,1994
1995,train,1995
1996,train,1996
